epoch=1, accuracy=0.9342417061611374, loss=0.16573738733580187
epoch=2, accuracy=0.9388329383886256, loss=0.1633050931193888
epoch=3, accuracy=0.9345379146919431, loss=0.15602617903272686
epoch=4, accuracy=0.9314277251184834, loss=0.17422398613651074
epoch=5, accuracy=0.9348341232227488, loss=0.15861991374042786
epoch=6, accuracy=0.9373518957345972, loss=0.15511346258823341
epoch=7, accuracy=0.9385367298578199, loss=0.16122336511972463
epoch=8, accuracy=0.9388329383886256, loss=0.1593847575363531
epoch=9, accuracy=0.9333530805687204, loss=0.17317120255946547
epoch=10, accuracy=0.9385367298578199, loss=0.15702445286445285
epoch=11, accuracy=0.9345379146919431, loss=0.17216209999740265
epoch=12, accuracy=0.9406101895734598, loss=0.16687316752493522
epoch=13, accuracy=0.9358708530805687, loss=0.16269500059477315
epoch=14, accuracy=0.9385367298578199, loss=0.1691928878360344
epoch=15, accuracy=0.9397215639810427, loss=0.16165398968983954
epoch=16, accuracy=0.9388329383886256, loss=0.16205923184222804
epoch=17, accuracy=0.9392772511848341, loss=0.16672213478190426
epoch=18, accuracy=0.9398696682464455, loss=0.16552012454347587
epoch=19, accuracy=0.9335011848341233, loss=0.1781957290373672
epoch=20, accuracy=0.9401658767772512, loss=0.17158770393933306
