epoch=1, accuracy=0.924318720379147, loss=0.1804871606812658
epoch=2, accuracy=0.9360189573459715, loss=0.16313007714941885
epoch=3, accuracy=0.9342417061611374, loss=0.15527781786759035
epoch=4, accuracy=0.9398696682464455, loss=0.1606196275475254
epoch=5, accuracy=0.9423874407582938, loss=0.14069428838242146
epoch=6, accuracy=0.9441646919431279, loss=0.1458940972702057
epoch=7, accuracy=0.9385367298578199, loss=0.14595970663714325
epoch=8, accuracy=0.9366113744075829, loss=0.15936345205381866
epoch=9, accuracy=0.9406101895734598, loss=0.15090560718876492
epoch=10, accuracy=0.941350710900474, loss=0.15563175045571762
epoch=11, accuracy=0.9414988151658767, loss=0.1497653784071453
epoch=12, accuracy=0.9349822274881516, loss=0.16300313831947003
epoch=13, accuracy=0.9369075829383886, loss=0.1547338437218378
epoch=14, accuracy=0.9324644549763034, loss=0.1720848976065056
epoch=15, accuracy=0.9447571090047393, loss=0.16203922513978317
epoch=16, accuracy=0.9468305687203792, loss=0.15178900053481884
epoch=17, accuracy=0.9432760663507109, loss=0.15194957669586015
epoch=18, accuracy=0.9380924170616114, loss=0.18192815321157751
epoch=19, accuracy=0.9403139810426541, loss=0.1646200884442547
epoch=20, accuracy=0.9414988151658767, loss=0.1679176233048988
