epoch=1, accuracy=0.935574644549763, loss=0.15749880941628844
epoch=2, accuracy=0.9220971563981043, loss=0.17736413559359962
epoch=3, accuracy=0.9364632701421801, loss=0.15110484722745715
epoch=4, accuracy=0.9444609004739336, loss=0.1453623748627178
epoch=5, accuracy=0.9386848341232228, loss=0.1555198554029044
epoch=6, accuracy=0.9219490521327014, loss=0.1845229584194049
epoch=7, accuracy=0.9354265402843602, loss=0.15754551255978397
epoch=8, accuracy=0.942239336492891, loss=0.18071419608854286
epoch=9, accuracy=0.9420912322274881, loss=0.17402518489530477
epoch=10, accuracy=0.9401658767772512, loss=0.17951309609765373
epoch=11, accuracy=0.9410545023696683, loss=0.1873366136801257
epoch=12, accuracy=0.9420912322274881, loss=0.17961680708823824
epoch=13, accuracy=0.9401658767772512, loss=0.21614419353157016
epoch=14, accuracy=0.9397215639810427, loss=0.17943982277904147
epoch=15, accuracy=0.9441646919431279, loss=0.18726509480455214
epoch=16, accuracy=0.943127962085308, loss=0.2137552024926262
epoch=17, accuracy=0.9385367298578199, loss=0.20836594094019117
epoch=18, accuracy=0.9414988151658767, loss=0.21564813953370818
epoch=19, accuracy=0.943127962085308, loss=0.1912740101812681
epoch=20, accuracy=0.939425355450237, loss=0.21831877299907762
